,Company,TypeName,Cpu,Ram,Gpu,OpSys,Weight,Price,ppi,IPS,TouchScreen
0,Apple,Ultrabook,Intel Core i5,8,Intel Iris,mac OS,1.37,119514,227.0,1,0
1,Apple,Ultrabook,Intel Core i5,8,Intel HD,mac OS,1.34,80194,128.0,0,0
2,HP,Notebook,Intel Core i5,8,Intel HD,No OS,1.86,51296,141.0,0,0
4,Apple,Ultrabook,Intel Core i5,8,Intel Iris,mac OS,1.37,160899,227.0,1,0
5,Acer,Notebook,AMD A-Series,4,AMD Radeon,Windows 10,2.1,35684,100.0,0,0
7,Apple,Ultrabook,Intel Core i5,8,Intel HD,mac OS,1.34,103368,128.0,0,0
8,Asus,Ultrabook,Intel Core i7,16,Nvidia GeForce,Windows 10,1.3,133369,157.0,0,0
9,Acer,Ultrabook,Intel Core i5,8,Intel UHD,Windows 10,1.6,68692,157.0,1,0
10,HP,Notebook,Intel Core i5,4,Intel HD,No OS,1.86,35140,100.0,0,0
11,HP,Notebook,Intel Core i3,4,Intel HD,No OS,1.86,30777,141.0,0,0
13,Dell,Notebook,Intel Core i3,4,AMD Radeon,Windows 10,2.2,44507,141.0,0,0
15,Apple,Ultrabook,Intel Core i5,8,Intel Iris,mac OS,1.37,135470,227.0,1,0
16,Dell,Notebook,Intel Core i7,8,AMD Radeon,Windows 10,2.2,66461,141.0,0,0
18,Lenovo,Notebook,Intel Core i3,8,Nvidia GeForce,No OS,2.2,44516,141.0,0,0
19,Dell,Ultrabook,Intel Core i5,8,Intel UHD,Windows 10,1.22,87337,166.0,1,1
20,Asus,Netbook,Other Intel Processor,2,Intel HD,Windows 10,0.98,17119,135.0,0,0
21,Lenovo,Gaming,Intel Core i5,8,Nvidia GeForce,Windows 10,2.5,89121,141.0,1,0
22,HP,Notebook,AMD E-Series,4,AMD Radeon,No OS,1.86,23016,100.0,0,0
23,Dell,2 in 1 Convertible,Intel Core i5,8,Intel UHD,Windows 10,1.62,73063,166.0,0,1
24,HP,Ultrabook,Intel Core i7,8,Intel HD,Windows 10,1.91,58789,141.0,0,0
25,Dell,Notebook,Intel Core i3,4,Intel HD,Windows 10,2.3,37347,100.0,0,0
26,Apple,Ultrabook,Intel Core i5,8,Intel HD,mac OS,1.35,98042,128.0,0,0
27,Dell,Notebook,Intel Core i5,8,AMD Radeon,Windows 10,2.2,71368,141.0,0,0
28,Dell,Ultrabook,Intel Core i7,8,Intel UHD,Windows 10,1.88,115795,141.0,0,0
29,HP,Notebook,Intel Core i5,8,Nvidia GeForce,Windows 10,2.5,79932,127.0,0,0
31,Asus,Notebook,AMD E-Series,2,AMD Radeon,Windows 10,1.65,17753,112.0,0,0
32,HP,Notebook,AMD A-Series,4,AMD Radeon,Windows 10,2.71,39163,127.0,0,0
33,Dell,Ultrabook,Intel Core i7,16,Intel UHD,Windows 10,1.2,166733,276.0,0,1
34,Apple,Ultrabook,Intel Core i5,8,Intel HD,mac OS,1.35,89032,128.0,0,0
35,Lenovo,Notebook,Other Intel Processor,4,Intel HD,Windows 10,1.44,22213,112.0,0,0
36,Acer,Notebook,Intel Core i3,4,Intel HD,Linux,2.1,32740,100.0,0,0
37,Dell,Notebook,Intel Core i5,8,AMD Radeon,Windows 10,2.8,87337,127.0,1,0
38,HP,Notebook,Intel Core i5,4,Intel HD,Windows 10,1.86,43596,100.0,0,0
39,HP,Notebook,Intel Core i5,8,Nvidia GeForce,Windows 10,2.1,78416,141.0,0,0
40,Asus,Notebook,Intel Core i3,4,Intel HD,Linux,2.0,34703,141.0,0,0
41,Dell,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.65,133726,141.0,1,0
42,Asus,Notebook,Intel Core i5,8,Nvidia GeForce,Linux,2.3,46656,100.0,0,0
43,Acer,Notebook,Intel Core i5,4,Intel UHD,Windows 10,2.2,60841,141.0,1,0
44,Dell,2 in 1 Convertible,Intel Core i5,12,Nvidia GeForce,Windows 10,2.77,89121,127.0,0,1
45,Apple,Ultrabook,Intel Core i5,8,Intel Iris,mac OS,1.37,126589,227.0,1,0
46,Lenovo,Notebook,Intel Core i3,4,Intel HD,No OS,2.2,32918,100.0,0,0
47,Asus,Gaming,AMD Ryzen Series,8,AMD Radeon,Windows 10,3.2,115884,127.0,0,0
48,Dell,Notebook,Intel Core i5,4,AMD Radeon,Windows 10,2.3,57005,141.0,0,0
49,Asus,Notebook,Other Intel Processor,4,Nvidia GeForce,Windows 10,2.8,41572,91.0,0,0
51,Acer,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,2.2,75026,141.0,1,0
52,HP,Notebook,AMD A-Series,4,AMD Radeon,Windows 10,1.86,35549,141.0,0,0
53,HP,Notebook,Intel Core i7,8,Intel UHD,Windows 10,1.49,98399,166.0,0,0
54,Acer,Notebook,Intel Core i3,4,Intel HD,Windows 10,2.4,34257,100.0,0,0
55,Dell,Notebook,Intel Core i7,8,AMD Radeon,Windows 10,2.13,68495,141.0,0,0
56,HP,Notebook,Intel Core i3,4,Intel HD,Windows 10,1.91,39163,141.0,0,0
57,Asus,Notebook,Intel Core i5,4,Intel HD,Windows 10,2.0,52294,100.0,0,0
58,MSI,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.43,218475,127.0,0,0
59,Asus,Notebook,Intel Core i3,4,Intel HD,Linux,2.0,37022,141.0,0,0
